stop_id,stop_lat,stop_lon,stop_name,wheelchair_boarding,zone_id,segment
p_07,14.06734,100.6092,โรงพิมพ์,,7,s_way/228788194_f_14
p_08,14.06739,100.6058,คณะวิศวะ,,8,s_way/228788194_b_3
p_JC Cinema,14.06755,100.60545,JC Cinema,,JC Cinema,s_way/154906086_b_1
p_JCCanteen,14.06906,100.6048,โรงอาหาร JC,,๋JC Canteen,s_way/154906086_b_7
p_01,14.07536,100.60169,ข้าม อาคารกิจกรรมนักศึกษา,,1,s_way/228680448_f_1
p_19,14.0762,100.60008,โรงเรียนประถม,,19,s_way/62164420_f_2
p_17,14.07635,100.59717,Interzone,,17,s_way/62163433_f_13
p_16,14.07645,100.59607,EA Anywhere Charging Station,,16,s_way/62163433_f_10
p_วงเวียน Asian,14.07716,100.59515,วงเวียน Asian Game,,วงเวียน Asian,s_way/62163433_f_2
p_D01,14.07597,100.5967,หอ C1,,D01,s_way/694594557_b_2
p_D02,14.07523,100.59674,หอ C2,,D02,s_way/694594557_b_4
p_D03,14.07459,100.59674,หอ C3,,D03,s_way/694594557_b_5
p_d04,14.07429,100.59676,หอ C4,,d04,s_way/694594557_b_6
p_d07,14.07329,100.5968,หอ C7,,d07,s_way/694594557_b_9
p_d09,14.07272,100.59685,หอ C9,,d09,s_way/694594557_b_11
p_d11,14.07209,100.59711,หอ C11,,d11,s_way/694594557_b_13
p_a14,14.07128,100.59791,ตึก 14 ชั้น,,a14,s_way/694594557_b_14
p_30,14.07043,100.60137,Sports Service Center,1,30,s_way/62274156_f_1
p_CR back,14.06619,100.60493,เชียงราก 1 กลับ,,CR back,
p_นิติศาสตร์,14.06757,100.60314,นิติศาสตร์,,นิติศาสตร์,
p_ASolar Cafe,14.06954,100.60177,ข้าม Solar Cafe,,ASolar Cafe,
p_05,14.07128,100.60171,หอสมุดป๋วย,,5,s_way/754267301_b_2
p_04,14.07343,100.6017,ข้าม Green Canteen,,4,s_way/754267301_b_10
p_03,14.07441,100.60167,วงเวียน ออก,,3,s_way/754267301_b_11
p_12,14.07441,100.60155,วงเวียน เข้า,,12,
p_G1,14.07265,100.60155,Green Canteen,,G1,
p_หอพระ,14.07135,100.60156,หอพระ,,หอพระ,
p_11,14.06969,100.60158,Solar Cafe,,11,s_way/378474719_f_9
p_10,14.06742,100.60324,ข้ามนิติศาสตร์,,10,s_way/228788193_b_3
p_09,14.0674,100.60456,Gym 6,,9,s_way/228788193_b_6
p_CR,14.0664,100.60505,เชียงราก 1,,CR,
p_TU-Dome,14.06597,100.60054,TU-Dome,,TU-Dome,
